Date;Spot;Futures
Set-97;947.28;954.50
Oct-97;914.62;924.00
Nov-97;955.40;955.00
Dic-97;970.43;979.25
Ene-98;980.28;987.75
Feb-98;1049.34;1050.50
Mar-98;1101.75;1110.50
Abr-98;1111.75;1119.25
May-98;1090.82;1090.75
Jun-98;1133.84;1143.00
Jul-98;1120.67;1146.00
Ago-98;957.28;958.00
Set-98;1017.01;1026.00
Oct-98;1098.67;1105.20
Nov-98;1163.63;1162.50
Dic-98;1229.23;1245.50
Ene-99;1279.64;1281.50
Feb-99;1238.33;1235.50
Mar-99;1286.37;1293.25
Abr-99;1335.18;1347.50
May-99;1301.84;1286.00
Jun-99;1372.71;1381.70
Jul-99;1328.72;1331.80
Ago-99;1320.41;1319.80
Set-99;1282.71;1298.20
Oct-99;1362.93;1376.25
Nov-99;1388.91;1391.50
Dic-99;1469.25;1484.25
Ene-00;1394.46;1401.00
Feb-00;1366.42;1372.00
Mar-00;1498.58;1515.25
Abr-00;1452.43;1460.00
May-00;1420.60;1422.25
Jun-00;1454.60;1468.00
Jul-00;1430.83;1439.00
Ago-00;1517.68;1521.25
Set-00;1436.51;1453.75
Oct-00;1429.40;1440.25
Nov-00;1314.95;1321.50
Dic-00;1320.28;1335.00
Ene-01;1366.01;1373.00
Feb-01;1239.94;1242.00
Mar-01;1160.33;1169.25
Abr-01;1249.46;1254.25
May-01;1255.82;1257.50
Jun-01;1224.38;1231.75
Jul-01;1211.23;1215.25
Ago-01;1133.58;1135.00
Set-01;1040.94;1043.75
Oct-01;1059.78;1060.75
Nov-01;1139.45;1140.00
Dic-01;1148.08;1149.20
Ene-02;1130.20;1130.40
Feb-02;1106.73;1107.00
Mar-02;1147.39;1149.25
Abr-02;1076.92;1077.25
May-02;1067.14;1067.50
Jun-02;989.82;990.00
Jul-02;911.62;911.50
Ago-02;916.07;916.00
Set-02;815.28;815.00
Oct-02;885.76;885.50
Nov-02;936.31;936.00
Dic-02;879.82;879.00
Ene-03;855.70;854.75
Feb-03;841.15;841.00
Mar-03;848.18;847.00
Abr-03;916.92;916.00
May-03;963.59;963.25
Jun-03;974.50;973.25
Jul-03;990.31;989.25
Ago-03;1008.01;1007.75
Set-03;995.97;994.00
Oct-03;1050.71;1049.50
Nov-03;1058.20;1057.75
Dic-03;1111.92;1110.50
Ene-04;1131.13;1130.00
Feb-04;1144.94;1144.50
Mar-04;1126.21;1125.00
Abr-04;1107.30;1106.00
May-04;1120.68;1120.25
Jun-04;1140.84;1140.50
Jul-04;1101.72;1101.00
Ago-04;1104.24;1104.00
Set-04;1114.58;1115.00
Oct-04;1130.20;1130.25
Nov-04;1173.82;1174.00
Dic-04;1211.92;1213.75
Ene-05;1181.27;1181.75
Feb-05;1203.60;1204.00
Mar-05;1180.59;1184.00
Abr-05;1156.85;1158.50
May-05;1191.50;1192.25
Jun-05;1191.33;1195.50
Jul-05;1234.18;1236.75
Ago-05;1220.33;1221.50
Set-05;1228.81;1234.25
Oct-05;1207.01;1209.75
Nov-05;1249.48;1251.00
Dic-05;1248.29;1254.75
Ene-06;1280.08;1283.50
Feb-06;1280.66;1282.50
Mar-06;1294.87;1303.25
Abr-06;1310.61;1316.00
May-06;1270.09;1272.00
Jun-06;1270.20;1279.50
Jul-06;1276.66;1281.75
Ago-06;1303.82;1305.50
Set-06;1335.85;1345.40
Oct-06;1377.94;1383.25
Nov-06;1400.63;1403.00
Dic-06;1418.30;1428.50
Ene-07;1438.24;1443.00
Feb-07;1406.82;1409.00
Mar-07;1420.86;1431.25
Abr-07;1482.37;1488.50
May-07;1530.62;1533.00
Jun-07;1503.35;1515.50
Jul-07;1455.27;1462.00
Ago-07;1473.99;1476.75
Set-07;1526.75;1538.00
Oct-07;1549.38;1554.90
Nov-07;1481.14;1483.75
Dic-07;1468.36;1477.25
Ene-08;1378.55;1379.50
Feb-08;1330.63;1331.25
Mar-08;1322.70;1324.00
Abr-08;1385.59;1386.00
May-08;1400.38;1400.50
Jun-08;1280.00;1281.00
Jul-08;1267.38;1267.00
Ago-08;1282.83;1282.50
Set-08;1166.36;1169.00
Oct-08;968.75;967.25
Nov-08;896.24;895.25
Dic-08;903.25;900.00
Ene-09;825.88;822.50
Feb-09;735.09;734.25
Mar-09;797.87;794.75
Abr-09;872.81;870.00
May-09;919.14;918.00
Jun-09;919.32;915.50
Jul-09;987.48;984.50
Ago-09;1020.62;1019.75
Set-09;1057.08;1053.00
Oct-09;1036.19;1033.00
Nov-09;1095.63;1094.75
Dic-09;1115.10;1110.75
Ene-10;1073.87;1070.50
Feb-10;1104.49;1103.50
Mar-10;1169.43;1165.25
Abr-10;1186.69;1183.50
May-10;1089.41;1088.50
Jun-10;1030.71;1026.50
Jul-10;1101.60;1098.25
Ago-10;1049.33;1048.25
Set-10;1141.20;1136.75
Oct-10;1183.26;1179.75
Nov-10;1180.55;1179.50
Dic-10;1257.64;1253.00
Ene-11;1286.12;1282.50
Feb-11;1327.22;1326.00
Mar-11;1325.83;1321.00
Abr-11;1363.61;1359.75
May-11;1345.20;1344.00
Jun-11;1320.64;1315.50
Jul-11;1292.28;1288.50
Ago-11;1218.89;1217.75
Set-11;1131.42;1126.00
Oct-11;1253.30;1249.25
Nov-11;1246.96;1246.00
Dic-11;1257.60;1252.50
Ene-12;1312.41;1308.25
Feb-12;1365.68;1364.50
Mar-12;1408.47;1403.25
Abr-12;1397.91;1393.50
May-12;1310.33;1309.25
Jun-12;1362.16;1356.50
Jul-12;1379.32;1374.50
Ago-12;1406.58;1405.00
Set-12;1440.67;1434.25
Oct-12;1412.16;1406.75
Nov-12;1416.18;1414.50
Dic-12;1426.19;1420.00
Ene-13;1498.11;1493.25
Feb-13;1514.68;1513.25
Mar-13;1569.19;1562.75
Abr-13;1597.57;1592.25
May-13;1630.74;1629.00
Jun-13;1606.28;1599.25
Jul-13;1685.73;1680.50
Ago-13;1632.97;1631.25
Set-13;1681.55;1674.25
Oct-13;1756.54;1751.00
Nov-13;1805.81;1804.00
Dic-13;1848.36;1841.00
Ene-14;1782.59;1776.50
Feb-14;1859.45;1857.50
Mar-14;1872.34;1864.50
Abr-14;1883.95;1878.00
May-14;1923.57;1921.50
Jun-14;1960.23;1952.50
Jul-14;1930.67;1924.75
Ago-14;2003.37;2001.50
Set-14;1972.29;1965.50
Oct-14;2018.05;2011.50
Nov-14;2067.56;2066.25
Dic-14;2058.90;2052.50
Ene-15;1994.99;1988.50
Feb-15;2104.50;2102.75
Mar-15;2067.89;2060.75
Abr-15;2085.51;2079.00
May-15;2107.39;2106.00
Jun-15;2063.11;2054.50
Jul-15;2103.84;2098.50
Ago-15;1972.18;1969.25
Set-15;1920.03;1908.75
Oct-15;2079.36;2073.75
Nov-15;2080.41;2079.75
Dic-15;2043.94;2035.50
Ene-16;1940.24;1930.00
Feb-16;1932.23;1929.50
Mar-16;2059.74;2051.50
Abr-16;2065.30;2059.00
May-16;2096.95;2095.00
Jun-16;2098.86;2090.25
Jul-16;2173.60;2168.25
Ago-16;2170.95;2169.50
Set-16;2168.27;2160.50
Oct-16;2126.15;2120.00
Nov-16;2198.81;2198.75
Dic-16;2238.83;2236.25
Ene-17;2278.87;2274.50
Feb-17;2363.64;2362.75
Mar-17;2362.72;2359.25
Abr-17;2384.20;2380.50
May-17;2411.80;2411.00
Jun-17;2423.41;2421.00
Jul-17;2470.30;2468.00
Ago-17;2471.65;2470.00
Set-17;2519.36;2516.00
Oct-17;2575.26;2572.75
Nov-17;2584.84;2648.00
Dic-17;2673.61;2676.00
Ene-18;2823.81;2825.75
Feb-18;2713.83;2714.50
Mar-18;2640.87;2643.00